date,category,product_name,unit_price,quantity,total_amount
2026-04-12,Elektronik Rumah,Smart TV 43 inch,4299000,2,8598000
2026-04-12,HP,iPhone 15,13999000,1,13999000
2026-04-12,Aksesoris,Tempered Glass,75000,1,75000
2026-04-12,HP,Xiaomi Redmi Note 13,3499000,1,3499000
2026-04-13,Elektronik Rumah,Rice Cooker 1.8L,425000,2,850000
2026-04-13,HP,iPhone 15,13999000,1,13999000
2026-04-13,Elektronik Rumah,Smart TV 43 inch,4299000,2,8598000
2026-04-13,Aksesoris,Kabel USB-C 2m,89000,1,89000
2026-04-13,HP,iPhone 15,13999000,1,13999000
2026-04-13,HP,Samsung Galaxy A55,5999000,1,5999000
2026-04-13,Aksesoris,Charger 65W GaN,349000,2,698000
2026-04-13,Elektronik Rumah,Smart TV 43 inch,4299000,3,12897000
2026-04-13,Elektronik Rumah,Setrika Uap,275000,2,550000
2026-04-13,Aksesoris,Tempered Glass,75000,3,225000
2026-04-13,HP,Samsung Galaxy S24,12999000,1,12999000
2026-04-13,HP,iPhone 15,13999000,1,13999000
2026-04-13,Aksesoris,Powerbank 10000mAh,299000,2,598000
2026-04-14,HP,Samsung Galaxy A55,5999000,1,5999000
2026-04-14,Aksesoris,TWS Earbuds X1,499000,3,1497000
2026-04-14,Aksesoris,Charger 65W GaN,349000,2,698000
2026-04-14,Aksesoris,TWS Earbuds X1,499000,2,998000
2026-04-14,Elektronik Rumah,Air Fryer 4L,899000,2,1798000
2026-04-14,Elektronik Rumah,Air Fryer 4L,899000,1,899000
2026-04-14,Elektronik Rumah,Rice Cooker 1.8L,425000,3,1275000
2026-04-14,Elektronik Rumah,Smart TV 43 inch,4299000,2,8598000
2026-04-15,Elektronik Rumah,Setrika Uap,275000,3,825000
2026-04-15,Aksesoris,Powerbank 10000mAh,299000,3,897000
2026-04-15,HP,Xiaomi Redmi Note 13,3499000,1,3499000
2026-04-15,Aksesoris,Tempered Glass,75000,2,150000
2026-04-15,Aksesoris,Powerbank 10000mAh,299000,2,598000
2026-04-15,Elektronik Rumah,Rice Cooker 1.8L,425000,2,850000
2026-04-15,HP,Samsung Galaxy S24,12999000,1,12999000
2026-04-16,Aksesoris,Casing HP Premium,149000,2,298000
2026-04-16,Aksesoris,Tempered Glass,75000,2,150000
2026-04-17,Elektronik Rumah,Air Fryer 4L,899000,3,2697000
2026-04-17,Aksesoris,Charger 65W GaN,349000,1,349000
2026-04-17,Aksesoris,Charger 65W GaN,349000,2,698000
2026-04-17,Aksesoris,TWS Earbuds X1,499000,1,499000
2026-04-17,Aksesoris,Casing HP Premium,149000,3,447000
2026-04-17,Aksesoris,TWS Earbuds X1,499000,1,499000
2026-04-17,Aksesoris,Tempered Glass,75000,2,150000
2026-04-17,HP,Vivo V30,4999000,1,4999000
2026-04-17,Elektronik Rumah,Smart TV 43 inch,4299000,3,12897000
2026-04-18,Aksesoris,Casing HP Premium,149000,3,447000
2026-04-18,Elektronik Rumah,Rice Cooker 1.8L,425000,1,425000
2026-04-18,Aksesoris,Powerbank 10000mAh,299000,1,299000
2026-04-18,Aksesoris,Tempered Glass,75000,1,75000
2026-04-18,HP,Samsung Galaxy A55,5999000,1,5999000
2026-04-18,Elektronik Rumah,Kipas Angin Tornado,315000,2,630000
2026-04-18,HP,Oppo Reno 11,5499000,1,5499000
2026-04-19,Elektronik Rumah,Blender Multifungsi,389000,1,389000
2026-04-19,Aksesoris,Powerbank 10000mAh,299000,1,299000
2026-04-19,Elektronik Rumah,Blender Multifungsi,389000,2,778000
2026-04-19,Aksesoris,Tempered Glass,75000,1,75000
2026-04-19,HP,iPhone 15,13999000,1,13999000
2026-04-19,Aksesoris,TWS Earbuds X1,499000,2,998000
2026-04-19,HP,Xiaomi Redmi Note 13,3499000,1,3499000
2026-04-19,Aksesoris,Powerbank 10000mAh,299000,1,299000
2026-04-20,Aksesoris,Casing HP Premium,149000,3,447000
2026-04-20,Aksesoris,Charger 65W GaN,349000,2,698000
2026-04-20,Aksesoris,Tempered Glass,75000,1,75000
2026-04-20,Elektronik Rumah,Blender Multifungsi,389000,1,389000
2026-04-20,Aksesoris,Casing HP Premium,149000,2,298000
2026-04-20,Elektronik Rumah,Smart TV 43 inch,4299000,1,4299000
2026-04-20,HP,Samsung Galaxy S24,12999000,1,12999000
2026-04-20,HP,iPhone 15,13999000,1,13999000
2026-04-20,HP,iPhone 15,13999000,1,13999000
2026-04-20,Aksesoris,Casing HP Premium,149000,2,298000
2026-04-21,Elektronik Rumah,Blender Multifungsi,389000,2,778000
2026-04-21,HP,Samsung Galaxy A55,5999000,1,5999000
2026-04-21,HP,Samsung Galaxy S24,12999000,1,12999000
2026-04-21,HP,Oppo Reno 11,5499000,1,5499000
2026-04-21,Aksesoris,TWS Earbuds X1,499000,1,499000
2026-04-21,HP,Samsung Galaxy A55,5999000,1,5999000
2026-04-21,Aksesoris,Charger 65W GaN,349000,2,698000
2026-04-21,Aksesoris,Charger 65W GaN,349000,2,698000
2026-04-21,Aksesoris,Casing HP Premium,149000,1,149000
2026-04-22,Elektronik Rumah,Rice Cooker 1.8L,425000,1,425000
2026-04-22,HP,iPhone 15,13999000,1,13999000
2026-04-22,Elektronik Rumah,Kipas Angin Tornado,315000,1,315000
2026-04-22,Elektronik Rumah,Rice Cooker 1.8L,425000,1,425000
2026-04-22,Aksesoris,TWS Earbuds X1,499000,2,998000
2026-04-22,Aksesoris,Powerbank 10000mAh,299000,2,598000
2026-04-22,HP,Samsung Galaxy S24,12999000,1,12999000
2026-04-22,Aksesoris,Kabel USB-C 2m,89000,1,89000
2026-04-23,Elektronik Rumah,Setrika Uap,275000,1,275000
2026-04-23,HP,Oppo Reno 11,5499000,1,5499000
2026-04-23,HP,Samsung Galaxy A55,5999000,1,5999000
2026-04-23,HP,Samsung Galaxy S24,12999000,1,12999000
2026-04-23,HP,Vivo V30,4999000,1,4999000
2026-04-23,Aksesoris,TWS Earbuds X1,499000,1,499000
2026-04-23,Elektronik Rumah,Rice Cooker 1.8L,425000,1,425000
2026-04-23,Aksesoris,Tempered Glass,75000,3,225000
2026-04-23,Aksesoris,Charger 65W GaN,349000,1,349000
2026-04-24,Aksesoris,Powerbank 10000mAh,299000,3,897000
2026-04-24,HP,Samsung Galaxy A55,5999000,1,5999000
2026-04-24,Aksesoris,Casing HP Premium,149000,3,447000
2026-04-24,Aksesoris,Powerbank 10000mAh,299000,2,598000
2026-04-24,Elektronik Rumah,Smart TV 43 inch,4299000,3,12897000
2026-04-24,Elektronik Rumah,Blender Multifungsi,389000,2,778000
2026-04-24,HP,Xiaomi Redmi Note 13,3499000,1,3499000
2026-04-24,HP,Oppo Reno 11,5499000,1,5499000
2026-04-24,Aksesoris,Kabel USB-C 2m,89000,1,89000
2026-04-24,Aksesoris,Powerbank 10000mAh,299000,2,598000
2026-04-25,Aksesoris,Tempered Glass,75000,3,225000
2026-04-25,Aksesoris,Powerbank 10000mAh,299000,1,299000
2026-04-25,Elektronik Rumah,Setrika Uap,275000,1,275000
2026-04-25,Aksesoris,Casing HP Premium,149000,1,149000
2026-04-25,HP,Xiaomi Redmi Note 13,3499000,1,3499000
2026-04-25,Aksesoris,Kabel USB-C 2m,89000,1,89000
2026-04-25,Elektronik Rumah,Air Fryer 4L,899000,2,1798000
2026-04-25,Aksesoris,Tempered Glass,75000,1,75000
2026-04-25,HP,iPhone 15,13999000,1,13999000
2026-04-26,HP,Samsung Galaxy A55,5999000,1,5999000
2026-04-26,Elektronik Rumah,Smart TV 43 inch,4299000,1,4299000
2026-04-26,HP,Samsung Galaxy A55,5999000,1,5999000
2026-04-26,Aksesoris,TWS Earbuds X1,499000,1,499000
2026-04-26,Elektronik Rumah,Smart TV 43 inch,4299000,3,12897000
2026-04-26,Aksesoris,Kabel USB-C 2m,89000,2,178000
2026-04-26,Elektronik Rumah,Air Fryer 4L,899000,2,1798000
2026-04-26,Elektronik Rumah,Kipas Angin Tornado,315000,2,630000
2026-04-26,Aksesoris,Casing HP Premium,149000,1,149000
2026-04-26,Aksesoris,Powerbank 10000mAh,299000,1,299000
2026-04-26,Elektronik Rumah,Kipas Angin Tornado,315000,1,315000
2026-04-26,HP,iPhone 15,13999000,1,13999000
2026-04-27,HP,iPhone 15,13999000,1,13999000
2026-04-27,Elektronik Rumah,Kipas Angin Tornado,315000,3,945000
2026-04-27,Aksesoris,Powerbank 10000mAh,299000,3,897000
2026-04-27,Aksesoris,Powerbank 10000mAh,299000,1,299000
2026-04-27,Aksesoris,Casing HP Premium,149000,1,149000
2026-04-28,Elektronik Rumah,Rice Cooker 1.8L,425000,2,850000
2026-04-28,Aksesoris,Casing HP Premium,149000,3,447000
2026-04-28,Aksesoris,Powerbank 10000mAh,299000,2,598000
2026-04-28,Aksesoris,Tempered Glass,75000,1,75000
2026-04-28,Aksesoris,Tempered Glass,75000,2,150000
2026-04-28,HP,Samsung Galaxy A55,5999000,1,5999000
2026-04-29,Aksesoris,Casing HP Premium,149000,1,149000
2026-04-29,Aksesoris,Powerbank 10000mAh,299000,1,299000
2026-04-29,Elektronik Rumah,Blender Multifungsi,389000,1,389000
2026-04-29,Elektronik Rumah,Kipas Angin Tornado,315000,2,630000
2026-04-29,HP,Vivo V30,4999000,1,4999000
2026-04-29,Elektronik Rumah,Kipas Angin Tornado,315000,2,630000
2026-04-29,Aksesoris,Tempered Glass,75000,1,75000
2026-04-29,Aksesoris,Tempered Glass,75000,1,75000
2026-04-29,HP,Samsung Galaxy S24,12999000,1,12999000
2026-04-29,Aksesoris,Casing HP Premium,149000,1,149000
2026-04-29,Aksesoris,Powerbank 10000mAh,299000,2,598000
2026-04-29,Aksesoris,Charger 65W GaN,349000,1,349000
2026-04-29,Aksesoris,Powerbank 10000mAh,299000,2,598000
2026-04-30,HP,Oppo Reno 11,5499000,1,5499000
2026-04-30,HP,Samsung Galaxy S24,12999000,1,12999000
2026-04-30,HP,Vivo V30,4999000,1,4999000
2026-04-30,Elektronik Rumah,Blender Multifungsi,389000,2,778000
2026-04-30,Aksesoris,Casing HP Premium,149000,3,447000
2026-04-30,Aksesoris,Tempered Glass,75000,1,75000
2026-04-30,Aksesoris,Powerbank 10000mAh,299000,1,299000
2026-04-30,Aksesoris,Kabel USB-C 2m,89000,1,89000
2026-04-30,Elektronik Rumah,Kipas Angin Tornado,315000,1,315000
2026-04-30,Elektronik Rumah,Blender Multifungsi,389000,2,778000
2026-05-01,Aksesoris,Powerbank 10000mAh,299000,1,299000
2026-05-01,HP,Vivo V30,4999000,1,4999000
2026-05-01,Elektronik Rumah,Air Fryer 4L,899000,2,1798000
2026-05-01,HP,iPhone 15,13999000,1,13999000
2026-05-01,HP,iPhone 15,13999000,1,13999000
2026-05-01,Aksesoris,Casing HP Premium,149000,1,149000
2026-05-01,HP,Oppo Reno 11,5499000,1,5499000
2026-05-01,Elektronik Rumah,Smart TV 43 inch,4299000,1,4299000
2026-05-02,Aksesoris,Tempered Glass,75000,2,150000
2026-05-02,Elektronik Rumah,Air Fryer 4L,899000,1,899000
2026-05-02,Aksesoris,Casing HP Premium,149000,2,298000
2026-05-02,HP,iPhone 15,13999000,1,13999000
2026-05-02,HP,Samsung Galaxy A55,5999000,1,5999000
2026-05-02,Aksesoris,Powerbank 10000mAh,299000,3,897000
2026-05-02,HP,Xiaomi Redmi Note 13,3499000,1,3499000
2026-05-03,Aksesoris,Tempered Glass,75000,3,225000
2026-05-03,Aksesoris,Charger 65W GaN,349000,1,349000
2026-05-03,Elektronik Rumah,Kipas Angin Tornado,315000,1,315000
2026-05-03,Elektronik Rumah,Setrika Uap,275000,1,275000
2026-05-03,HP,Samsung Galaxy S24,12999000,1,12999000
2026-05-03,Aksesoris,Casing HP Premium,149000,1,149000
2026-05-03,Aksesoris,Kabel USB-C 2m,89000,1,89000
2026-05-03,Aksesoris,Tempered Glass,75000,1,75000
2026-05-03,HP,Samsung Galaxy S24,12999000,1,12999000
2026-05-03,Aksesoris,Powerbank 10000mAh,299000,1,299000
2026-05-03,HP,Xiaomi Redmi Note 13,3499000,1,3499000
2026-05-04,Aksesoris,Tempered Glass,75000,3,225000
2026-05-04,HP,Vivo V30,4999000,1,4999000
2026-05-04,Aksesoris,Tempered Glass,75000,1,75000
2026-05-04,Elektronik Rumah,Rice Cooker 1.8L,425000,3,1275000
2026-05-04,HP,Vivo V30,4999000,1,4999000
2026-05-04,Aksesoris,TWS Earbuds X1,499000,1,499000
2026-05-04,Elektronik Rumah,Smart TV 43 inch,4299000,3,12897000
2026-05-04,Elektronik Rumah,Air Fryer 4L,899000,2,1798000
2026-05-05,Aksesoris,TWS Earbuds X1,499000,1,499000
2026-05-05,Aksesoris,Tempered Glass,75000,2,150000
2026-05-05,Elektronik Rumah,Setrika Uap,275000,1,275000
2026-05-05,HP,Xiaomi Redmi Note 13,3499000,1,3499000
2026-05-05,HP,Samsung Galaxy S24,12999000,1,12999000
2026-05-05,Elektronik Rumah,Kipas Angin Tornado,315000,2,630000
2026-05-06,Elektronik Rumah,Rice Cooker 1.8L,425000,2,850000
2026-05-06,Aksesoris,Tempered Glass,75000,1,75000
2026-05-06,Elektronik Rumah,Smart TV 43 inch,4299000,1,4299000
2026-05-06,Elektronik Rumah,Blender Multifungsi,389000,2,778000
2026-05-06,Aksesoris,Casing HP Premium,149000,2,298000
2026-05-06,Aksesoris,Powerbank 10000mAh,299000,1,299000
2026-05-06,HP,Samsung Galaxy A55,5999000,1,5999000
2026-05-06,HP,Vivo V30,4999000,1,4999000
2026-05-07,HP,Samsung Galaxy A55,5999000,1,5999000
2026-05-07,Aksesoris,Charger 65W GaN,349000,3,1047000
2026-05-07,Aksesoris,Charger 65W GaN,349000,1,349000
2026-05-07,HP,Samsung Galaxy A55,5999000,1,5999000
2026-05-07,HP,Samsung Galaxy A55,5999000,1,5999000
2026-05-08,Aksesoris,Casing HP Premium,149000,2,298000
2026-05-08,HP,Xiaomi Redmi Note 13,3499000,1,3499000
2026-05-08,Elektronik Rumah,Setrika Uap,275000,3,825000
2026-05-08,Aksesoris,Casing HP Premium,149000,3,447000
2026-05-08,HP,Samsung Galaxy S24,12999000,1,12999000
2026-05-08,HP,Samsung Galaxy A55,5999000,1,5999000
2026-05-08,HP,Samsung Galaxy A55,5999000,1,5999000
2026-05-08,Elektronik Rumah,Smart TV 43 inch,4299000,3,12897000
2026-05-08,Aksesoris,Charger 65W GaN,349000,1,349000
2026-05-08,Elektronik Rumah,Setrika Uap,275000,2,550000
2026-05-08,Elektronik Rumah,Setrika Uap,275000,1,275000
2026-05-08,Elektronik Rumah,Air Fryer 4L,899000,2,1798000
2026-05-08,HP,iPhone 15,13999000,1,13999000
2026-05-08,Aksesoris,Charger 65W GaN,349000,3,1047000
2026-05-08,Aksesoris,Kabel USB-C 2m,89000,1,89000
2026-05-08,HP,iPhone 15,13999000,1,13999000
2026-05-09,Aksesoris,Powerbank 10000mAh,299000,1,299000
2026-05-09,HP,iPhone 15,13999000,1,13999000
2026-05-09,Aksesoris,Charger 65W GaN,349000,1,349000
2026-05-09,HP,Oppo Reno 11,5499000,1,5499000
2026-05-09,Aksesoris,Charger 65W GaN,349000,1,349000
2026-05-09,Aksesoris,Charger 65W GaN,349000,1,349000
2026-05-09,Aksesoris,Powerbank 10000mAh,299000,2,598000
2026-05-09,HP,Vivo V30,4999000,1,4999000
2026-05-09,HP,Oppo Reno 11,5499000,1,5499000
2026-05-09,Elektronik Rumah,Setrika Uap,275000,1,275000
2026-05-09,HP,Samsung Galaxy A55,5999000,1,5999000
2026-05-09,HP,Oppo Reno 11,5499000,1,5499000
2026-05-09,Aksesoris,Powerbank 10000mAh,299000,3,897000
2026-05-09,Elektronik Rumah,Setrika Uap,275000,1,275000
2026-05-10,Aksesoris,Kabel USB-C 2m,89000,2,178000
2026-05-10,HP,Oppo Reno 11,5499000,1,5499000
2026-05-10,Aksesoris,Kabel USB-C 2m,89000,2,178000
2026-05-10,Aksesoris,Casing HP Premium,149000,3,447000
2026-05-10,Aksesoris,Powerbank 10000mAh,299000,2,598000
2026-05-10,Aksesoris,Kabel USB-C 2m,89000,1,89000
2026-05-10,Aksesoris,Kabel USB-C 2m,89000,2,178000
2026-05-10,Aksesoris,TWS Earbuds X1,499000,2,998000
2026-05-11,HP,Xiaomi Redmi Note 13,3499000,1,3499000
2026-05-11,Elektronik Rumah,Rice Cooker 1.8L,425000,1,425000
2026-05-11,Aksesoris,Casing HP Premium,149000,2,298000
2026-05-11,HP,Samsung Galaxy A55,5999000,1,5999000
2026-05-11,HP,Vivo V30,4999000,1,4999000
2026-05-11,Elektronik Rumah,Air Fryer 4L,899000,3,2697000
2026-05-11,Elektronik Rumah,Smart TV 43 inch,4299000,2,8598000
2026-05-11,Elektronik Rumah,Air Fryer 4L,899000,2,1798000
2026-05-11,HP,Oppo Reno 11,5499000,1,5499000
2026-05-11,Aksesoris,Powerbank 10000mAh,299000,1,299000
2026-05-11,HP,iPhone 15,13999000,1,13999000
2026-05-11,Aksesoris,Charger 65W GaN,349000,3,1047000
2026-05-11,HP,Oppo Reno 11,5499000,1,5499000
2026-05-12,Elektronik Rumah,Blender Multifungsi,389000,2,778000
2026-05-12,Aksesoris,TWS Earbuds X1,499000,2,998000
2026-05-12,Aksesoris,Kabel USB-C 2m,89000,2,178000
2026-05-12,HP,Samsung Galaxy A55,5999000,1,5999000
2026-05-12,HP,Vivo V30,4999000,1,4999000
2026-05-13,HP,iPhone 15,13999000,1,13999000
2026-05-13,HP,Vivo V30,4999000,1,4999000
2026-05-13,HP,Samsung Galaxy S24,12999000,1,12999000
2026-05-13,Elektronik Rumah,Setrika Uap,275000,1,275000
2026-05-13,HP,Samsung Galaxy S24,12999000,1,12999000
2026-05-13,Aksesoris,Kabel USB-C 2m,89000,1,89000
2026-05-13,Elektronik Rumah,Smart TV 43 inch,4299000,1,4299000
2026-05-13,HP,Oppo Reno 11,5499000,1,5499000
2026-05-13,Aksesoris,Charger 65W GaN,349000,2,698000
2026-05-14,Aksesoris,Kabel USB-C 2m,89000,2,178000
2026-05-14,Elektronik Rumah,Setrika Uap,275000,2,550000
2026-05-14,Aksesoris,Casing HP Premium,149000,1,149000
2026-05-14,Aksesoris,Kabel USB-C 2m,89000,2,178000
2026-05-14,HP,Oppo Reno 11,5499000,1,5499000
2026-05-14,Elektronik Rumah,Air Fryer 4L,899000,3,2697000
2026-05-14,HP,Vivo V30,4999000,1,4999000
2026-05-14,HP,Samsung Galaxy S24,12999000,1,12999000
2026-05-14,Aksesoris,Casing HP Premium,149000,2,298000
2026-05-14,Elektronik Rumah,Smart TV 43 inch,4299000,1,4299000
2026-05-14,Aksesoris,TWS Earbuds X1,499000,2,998000
2026-05-14,HP,Xiaomi Redmi Note 13,3499000,1,3499000
2026-05-15,HP,Samsung Galaxy A55,5999000,1,5999000
2026-05-15,Elektronik Rumah,Rice Cooker 1.8L,425000,3,1275000
2026-05-15,Aksesoris,Charger 65W GaN,349000,1,349000
2026-05-15,Aksesoris,Casing HP Premium,149000,1,149000
2026-05-15,Aksesoris,Casing HP Premium,149000,2,298000
2026-05-15,HP,Oppo Reno 11,5499000,1,5499000
2026-05-15,HP,Xiaomi Redmi Note 13,3499000,1,3499000
2026-05-15,Aksesoris,Casing HP Premium,149000,1,149000
2026-05-15,HP,Xiaomi Redmi Note 13,3499000,1,3499000
2026-05-15,HP,iPhone 15,13999000,1,13999000
2026-05-15,Aksesoris,TWS Earbuds X1,499000,1,499000
2026-05-15,HP,Samsung Galaxy S24,12999000,1,12999000
2026-05-15,HP,iPhone 15,13999000,1,13999000
2026-05-15,Aksesoris,Kabel USB-C 2m,89000,2,178000
2026-05-16,HP,Xiaomi Redmi Note 13,3499000,1,3499000
2026-05-16,Aksesoris,Casing HP Premium,149000,2,298000
2026-05-16,HP,Samsung Galaxy S24,12999000,1,12999000
2026-05-16,HP,Samsung Galaxy A55,5999000,1,5999000
2026-05-16,HP,Samsung Galaxy A55,5999000,1,5999000
2026-05-16,Aksesoris,Charger 65W GaN,349000,1,349000
2026-05-16,Aksesoris,Charger 65W GaN,349000,2,698000
2026-05-16,Aksesoris,TWS Earbuds X1,499000,1,499000
2026-05-16,HP,Samsung Galaxy S24,12999000,1,12999000
2026-05-16,Aksesoris,Kabel USB-C 2m,89000,3,267000
2026-05-16,Aksesoris,Tempered Glass,75000,1,75000
2026-05-16,Elektronik Rumah,Rice Cooker 1.8L,425000,1,425000
2026-05-17,Aksesoris,Kabel USB-C 2m,89000,2,178000
2026-05-17,HP,Samsung Galaxy S24,12999000,1,12999000
2026-05-17,Aksesoris,Charger 65W GaN,349000,2,698000
2026-05-17,Elektronik Rumah,Air Fryer 4L,899000,1,899000
2026-05-17,Aksesoris,Charger 65W GaN,349000,2,698000
2026-05-17,Elektronik Rumah,Smart TV 43 inch,4299000,1,4299000
2026-05-18,Aksesoris,Tempered Glass,75000,1,75000
2026-05-18,HP,Vivo V30,4999000,1,4999000
2026-05-18,HP,Samsung Galaxy S24,12999000,1,12999000
